reporter_iso3,year,hs_cmd,imports_from_china_usd
THA,2019,84,890579.576
THA,2019,85,537343.574
THA,2019,85,269670.468
THA,2019,85,7252182.867
THA,2019,85,706949.242
THA,2019,85,4527.579
THA,2019,85,156214.562
THA,2019,85,420430.439
THA,2019,85,3751987325.289
THA,2019,84,1021777996.584
THA,2020,84,6319804708.423
THA,2020,84,231244.506
THA,2020,84,455794.72
THA,2020,85,1203640.195
THA,2020,84,1325243.757
THA,2020,85,4905607087.465
THA,2020,84,62271.005
THA,2020,84,318808.345
THA,2020,85,277683.224
THA,2020,85,1877023.159
THA,2020,85,976314.383
THA,2020,85,108106.982
THA,2020,84,1771862.004
THA,2020,84,702015235.22
THA,2020,84,1417261.693
THA,2020,84,1896796.656
THA,2020,85,120.04
THA,2020,85,221538071.018
THA,2020,85,427644.93
THA,2020,85,296573.829
THA,2020,85,97613.323
THA,2020,85,135250.179
THA,2020,85,26073.131
THA,2020,84,1106.655
THA,2020,84,2093.936
THA,2020,84,1565.781
THA,2020,85,171520.55
THA,2020,85,20559.304
THA,2020,84,1606.305
THA,2020,84,1777.884
THA,2020,85,847.791
THA,2020,84,1192.1
THA,2020,84,7411.596
THA,2020,84,15478.509
THA,2020,84,964043275.953
THA,2020,84,1645041.441
THA,2020,84,4423206.23
THA,2020,85,1427938.068
THA,2020,85,28203.219
THA,2020,85,631.231
THA,2020,85,115400.446
THA,2020,85,1384051097.449
THA,2020,84,577222.708
THA,2020,84,7707.046
THA,2020,84,14818.433
THA,2020,84,1502.948
THA,2020,84,208323.673
THA,2020,85,26090051.31
THA,2020,85,110.722
THA,2020,85,264339.305
THA,2020,85,645317.72
THA,2020,85,1929073.16
THA,2020,85,1335166.528
THA,2020,85,349782.386
THA,2020,85,19573.163
THA,2020,84,1284.064
THA,2020,84,18534043.328
THA,2020,84,342120.832
THA,2020,84,6.468
THA,2020,84,2731713.678
THA,2020,84,406736788.871
THA,2020,85,2526889.017
THA,2020,85,226647.394
THA,2020,85,2407600.862
THA,2020,85,26341262.342
THA,2020,85,129930.545
THA,2020,85,761958.526
THA,2020,85,5056023.896
THA,2020,85,81504914.212
THA,2020,84,6872384183.593
THA,2020,85,3859.977
THA,2020,84,6055.83
THA,2020,85,326.389
THA,2020,84,55056.532
THA,2020,85,13564.034
THA,2020,84,3398.336
THA,2020,84,79211.579
THA,2020,84,98895.427
THA,2020,84,7440.01
THA,2020,84,559.251
THA,2020,84,862.422
THA,2020,84,261511.161
THA,2020,85,7871.768
THA,2020,85,989.01
THA,2020,85,909.678
THA,2020,85,442.383
THA,2020,85,15140.948
THA,2020,85,716.065
THA,2020,85,8075.591
THA,2020,85,62084.566
THA,2020,84,8948.323
THA,2020,84,47483.62
THA,2020,84,110.89
THA,2020,84,6365.867
THA,2020,84,7892.819
THA,2020,85,13047.415
THA,2020,85,2384.39
THA,2020,85,6368.488
THA,2020,85,34631.178
THA,2020,84,7530.944
THA,2020,84,391340.822
THA,2020,84,176.168
THA,2020,85,967.817
THA,2020,85,824.399
THA,2020,85,81303.647
THA,2020,85,1234.308
THA,2020,84,16392838.159
THA,2020,84,29365760.593
THA,2020,84,1078405.647
THA,2020,84,18229.223
THA,2020,84,1126415.723
THA,2020,84,3322614.819
THA,2020,84,15903947.776
THA,2020,84,32468.606
THA,2020,85,100958098.354
THA,2020,85,69084356.696
THA,2020,85,410569.726
THA,2020,85,104201836.478
THA,2020,85,178626.205
THA,2020,85,6286787.255
THA,2020,84,643317.646
THA,2020,84,478836.7
THA,2020,84,100808.139
THA,2020,84,715733.268
THA,2020,84,1284.064
THA,2020,84,707219.647
THA,2020,84,9510633.344
THA,2020,85,1001.542
THA,2020,85,456598.896
THA,2020,85,922.429
THA,2020,85,2428606244.329
THA,2020,85,1627.931
THA,2020,85,2936183.529
THA,2020,85,580921.954
THA,2020,84,9061077.09
THA,2020,84,1484.608
THA,2020,84,383997.006
THA,2020,84,23184.761
THA,2020,84,653364.603
THA,2020,84,8076573120.0
THA,2020,84,792875.855
THA,2020,85,2166405.96
THA,2020,85,27366.093
THA,2020,85,161.928
THA,2020,85,84212.981
THA,2020,84,9356854840.125
THA,2020,85,695527.143
THA,2020,85,1599124.63
THA,2020,85,15480570.156
THA,2020,85,34380946.701
THA,2020,85,8948613.334
THA,2020,84,1460741.678
THA,2020,84,16082.989
THA,2020,84,33461468.516
THA,2020,84,1445224.068
THA,2020,84,65008.607
THA,2020,84,1279861.849
THA,2020,84,285101.579
THA,2020,84,68309.606
THA,2020,84,83788.09
THA,2020,84,5265360.9
THA,2020,84,319349.789
THA,2020,84,13981.178
THA,2020,85,97613.323
THA,2020,85,1055190.045
THA,2020,85,4361.594
THA,2020,85,1529107.345
THA,2020,85,4872915.983
THA,2020,85,12146.563
THA,2020,85,4674.637
THA,2020,85,6549.317
THA,2020,85,595481135.499
THA,2020,85,20608.578
THA,2020,85,132481.263
THA,2020,85,30100876.205
THA,2020,84,380272.922
THA,2020,84,307876.488
THA,2020,84,112794.211
THA,2020,84,3955.048
THA,2020,85,2384.39
THA,2020,84,7647.594
THA,2020,85,662.192
THA,2020,84,21681.813
THA,2020,85,8756.941
THA,2020,84,47483.62
THA,2020,84,22084.422
THA,2020,85,76.069
THA,2020,85,345744.757
THA,2020,84,133797.159
THA,2020,85,65301.866
THA,2020,84,460753.72
THA,2020,84,904252.603
THA,2020,85,233843.935
THA,2020,85,18315.249
THA,2020,84,1800.375
THA,2020,85,2560.772
THA,2020,84,19079.869
THA,2020,84,767.623
THA,2020,84,2253.694
THA,2020,84,492.645
THA,2020,85,1050.153
THA,2020,85,909.678
THA,2020,85,524.067
THA,2020,85,15140.948
THA,2020,84,1606.305
THA,2020,84,6393214.072
THA,2020,84,1713.215
THA,2020,85,847797.912
THA,2020,85,116437.948
THA,2020,85,12.091
THA,2020,84,237819.897
THA,2020,84,585488.024
THA,2020,85,11104097.988
THA,2020,84,7519897.955
THA,2020,85,2328991.805
THA,2020,85,9975.814
THA,2020,85,1266223511.628
THA,2020,84,13268682.428
