,niip_gdp,cape,savings,mfg_share,yield_10y
2011-04-01,-17903.24292293273,23.0,6.366666666666667,8.879873256385913,3.2014285714285715
2011-07-01,-26419.469212049324,22.4,6.6000000000000005,8.885871110923016,2.41421875
2011-10-01,-28118.565666676703,21.8,6.633333333333333,8.865928155388886,2.0467213114754097
2012-01-01,-28656.592696221032,21.2,7.433333333333334,8.874083732959994,2.04
2012-04-01,-32454.381918064995,22.125,7.900000000000001,8.891404792651894,1.82578125
2012-07-01,-30639.32374078413,23.049999999999997,6.966666666666666,8.887568455900427,1.6412698412698414
2012-10-01,-27828.327644988836,23.974999999999998,9.133333333333333,8.851430532352259,1.7070491803278687
2013-01-01,-30598.781645258834,24.9,4.8,8.834869480144462,1.951
2013-04-01,-33040.73415923198,25.299999999999997,5.266666666666667,8.802994191464178,1.98625
2013-07-01,-29458.373968183485,25.7,5.233333333333333,8.774742312424157,2.7065625
2013-10-01,-31663.45383866781,26.1,4.566666666666666,8.77929800309009,2.7441935483870967
2014-01-01,-32001.621376020496,26.5,5.233333333333333,8.768856831563163,2.7654098360655737
2014-04-01,-31338.582029930858,26.625,5.533333333333334,8.751147973047138,2.620952380952381
2014-07-01,-34862.20801036697,26.75,5.433333333333334,8.745552321812655,2.49953125
2014-10-01,-39198.06293842272,26.875,5.666666666666667,8.746923374486528,2.2759677419354842
2015-01-01,-38534.347302788956,27.0,6.2,8.719972982842771,1.9688524590163934
2015-04-01,-37608.42578883864,26.9,5.8,8.694701539289746,2.164375
2015-07-01,-40360.67790965864,26.8,5.666666666666667,8.669747107098674,2.223125
2015-10-01,-41173.92780970383,26.700000000000003,5.733333333333333,8.634582240573076,2.190483870967742
2016-01-01,-42571.00033774277,26.6,5.866666666666667,8.600050822278277,1.9142622950819672
2016-04-01,-44576.26035301331,27.975,5.233333333333333,8.554975391102907,1.75015625
2016-07-01,-42897.781511624715,29.35,5.1,8.517394081780134,1.564375
2016-10-01,-43261.68494009155,30.725,5.233333333333333,8.481697442794916,2.138688524590164
2017-01-01,-41969.635609471414,32.1,5.5,8.468513140228277,2.4466129032258066
